Date,Adj Close,Actions
11/17/2016,108.209877,1
11/18/2016,108.318138,1
11/21/2016,109.961708,1
11/22/2016,110.030602,1
11/23/2016,109.469627,1
11/25/2016,110.020767,0
11/28/2016,109.804245,0
11/29/2016,109.695992,0
11/30/2016,108.770859,0
12/1/2016,107.757156,1
12/2/2016,108.160675,1
12/5/2016,107.383171,1
12/6/2016,108.209877,0
12/7/2016,109.272781,1
12/8/2016,110.345543,0
12/9/2016,112.146576,1
12/12/2016,111.506866,0
12/13/2016,113.366951,1
12/14/2016,113.366951,0
12/15/2016,113.986984,1
12/16/2016,114.134605,1
12/19/2016,114.793999,1
12/20/2016,115.099098,1
12/21/2016,115.207359,0
12/22/2016,114.449547,0
12/23/2016,114.675896,0
12/27/2016,115.40419,0
12/28/2016,114.912109,0
12/29/2016,114.882584,1
12/30/2016,113.986984,1
1/3/2017,114.31176,1
1/4/2017,114.183815,0
1/5/2017,114.764473,1
1/6/2017,116.043915,1
1/9/2017,117.106812,1
1/10/2017,117.224907,0
1/11/2017,117.854782,0
1/12/2017,117.362694,0
1/13/2017,117.156021,0
1/17/2017,118.100822,1
1/18/2017,118.090981,1
1/19/2017,117.8843,0
1/20/2017,118.100822,0
1/23/2017,118.179558,1
1/24/2017,118.071304,1
1/25/2017,119.951073,1
1/26/2017,120.010132,1
1/27/2017,120.019958,1
1/30/2017,119.705017,1
1/31/2017,119.429459,0
2/1/2017,126.712341,0
2/2/2017,126.495819,0
2/3/2017,127.037125,1
2/6/2017,128.227966,1
2/7/2017,129.448349,0
2/8/2017,129.950287,1
2/9/2017,130.889282,1
2/10/2017,130.592758,1
2/13/2017,131.749222,1
2/14/2017,133.459244,1
2/15/2017,133.943573,1
2/16/2017,133.785416,0
2/17/2017,134.151154,0
2/21/2017,135.119827,1
2/22/2017,135.52507,1
2/23/2017,134.951782,1
2/24/2017,135.080292,0
2/27/2017,135.347153,0
2/28/2017,135.406479,0
3/1/2017,138.174088,1
3/2/2017,137.353699,1
3/3/2017,138.1642,1
3/6/2017,137.729309,1
3/7/2017,137.907227,1
3/8/2017,137.393234,1
3/9/2017,137.07692,0
3/10/2017,137.531601,1
3/13/2017,137.590912,0
3/14/2017,137.383347,1
3/15/2017,138.836365,1
3/16/2017,139.06369,1
3/17/2017,138.37178,1
3/20/2017,139.824799,1
3/21/2017,138.223511,0
3/22/2017,139.785248,0
3/23/2017,139.291031,0
3/24/2017,139.014267,1
3/27/2017,139.251511,0
3/28/2017,142.137741,0
3/29/2017,142.454041,1
3/30/2017,142.266235,1
3/31/2017,141.999374,1
4/3/2017,142.03891,1
4/4/2017,143.096542,1
4/5/2017,142.355209,0
4/6/2017,141.999374,1
4/7/2017,141.68306,1
4/10/2017,141.51503,0
4/11/2017,139.992844,0
4/12/2017,140.160873,1
4/13/2017,139.41954,1
4/17/2017,140.190521,1
4/18/2017,139.567795,1
4/19/2017,139.053818,1
4/20/2017,140.793457,1
4/21/2017,140.625443,1
4/24/2017,141.979584,1
4/25/2017,142.859299,0
4/26/2017,142.019119,0
4/27/2017,142.127869,1
4/28/2017,141.989456,1
5/1/2017,144.885605,1
5/2/2017,145.804855,1
5/3/2017,145.360062,1
5/4/2017,144.836182,1
5/5/2017,147.238113,0
5/8/2017,151.241272,0
5/9/2017,152.209961,0
5/10/2017,151.488388,0
5/11/2017,152.798523,0
5/12/2017,154.932449,1
5/15/2017,154.535416,0
5/16/2017,154.307144,1
5/17/2017,149.12619,0
5/18/2017,151.399048,0
5/19/2017,151.915176,1
5/22/2017,152.838211,1
5/23/2017,152.649643,0
5/24/2017,152.193069,1
5/25/2017,152.719101,0
5/26/2017,152.46106,0
5/30/2017,152.520599,0
5/31/2017,151.617416,1
6/1/2017,152.034271,0
6/2/2017,154.287292,0
6/5/2017,152.778656,1
6/6/2017,153.294785,0
6/7/2017,154.207901,1
6/8/2017,153.830734,1
6/9/2017,147.865692,0
6/12/2017,144.332306,0
6/13/2017,145.493561,0
6/14/2017,144.074265,0
6/15/2017,143.210754,1
6/16/2017,141.205887,1
6/19/2017,145.245438,1
6/20/2017,143.925369,0
6/21/2017,144.778946,0
6/22/2017,144.540756,1
6/23/2017,145.185883,0
6/26/2017,144.72934,1
6/27/2017,142.654953,0
6/28/2017,144.739243,0
